Date,Release_MilfordLake_cfs,Release_TuttleCreekLake_cfs,Release_PerryLake_cfs,Release_ClintonLake_cfs
2017-05-25,2458,4917,25,21
2017-05-26,4792,8000,25,21
2017-05-27,7188,8750,361,21
2017-05-28,7500,9000,500,21
2017-05-29,7500,9000,500,21
2017-05-30,7500,9000,500,21
2017-05-31,3813,4854,183,21
2017-06-01,2000,2000,25,21
2017-06-02,2000,2000,25,21
2017-06-03,2750,3542,522,21
2017-06-04,3000,4000,1000,21
2017-06-05,3000,4000,1000,21
2017-06-06,3000,4000,1750,21
2017-06-07,3729,5458,3500,21
2017-06-08,1875,8500,4000,21
2017-06-09,1000,10000,4000,21
2017-06-10,1000,10000,4000,21
2017-06-11,1000,10000,4000,21
2017-06-12,1000,10000,4000,21
2017-06-13,1000,10000,4000,198
2017-06-14,1000,10000,830,300
2017-06-15,1000,10000,25,300
2017-06-16,1427,10000,25,300
2017-06-17,1500,8583,25,300
2017-06-18,1500,8000,25,300
2017-06-19,1500,8000,25,300
2017-06-20,1500,8000,25,79
2017-06-21,1500,8000,25,21
2017-06-22,1500,6542,292,191
2017-06-23,1500,3479,500,300
2017-06-24,1500,1313,500,300
2017-06-25,1500,1000,500,300
2017-06-26,1500,1000,500,300
2017-06-27,1500,1000,500,300
2017-06-28,1500,1000,500,300
2017-06-29,1500,1000,500,300
2017-06-30,1500,1000,500,300
2017-07-01,1500,1000,144,85
2017-07-02,1500,1000,25,21
2017-07-03,1500,1000,25,21
2017-07-04,2635,1708,695,317
2017-07-05,3000,2000,1000,500
2017-07-06,3000,2000,1000,500
2017-07-07,3000,2000,1000,500
2017-07-08,3000,2000,1000,500
2017-07-09,3000,2000,1000,500
2017-07-10,3000,2000,1000,500
2017-07-11,2333,2000,329,500
2017-07-12,2000,2000,25,500
2017-07-13,2000,1158,25,195
2017-07-14,2000,800,25,21
2017-07-15,1563,800,25,21
2017-07-16,1500,800,25,21
2017-07-17,1500,800,25,21
2017-07-18,652,800,25,21
2017-07-19,200,800,25,21
2017-07-20,51,800,25,21
2017-07-21,25,800,25,21
2017-07-22,25,1252,25,21
2017-07-23,25,1500,25,21
2017-07-24,25,1500,25,21
2017-07-25,817,1500,25,21
2017-07-26,1000,1500,25,21
2017-07-27,1000,1500,25,20
2017-07-28,1000,844,25,21
2017-07-29,1000,1000,25,21
2017-07-30,1000,1000,25,21
2017-07-31,1000,1000,25,21
2017-08-01,1000,604,25,21
2017-08-02,268,500,25,21
2017-08-03,25,500,25,21
2017-08-04,25,500,25,21
2017-08-05,25,500,25,21
2017-08-06,25,500,25,21
2017-08-07,25,500,25,21
2017-08-08,25,713,25,21
2017-08-09,25,800,411,21
2017-08-10,25,800,500,21
2017-08-11,25,800,500,21
2017-08-12,25,800,500,21
2017-08-13,25,800,500,21
2017-08-14,25,800,500,21
2017-08-15,25,800,500,21
2017-08-16,25,800,500,21
2017-08-17,25,800,500,21
2017-08-18,25,800,500,21
2017-08-19,25,800,229,21
2017-08-20,25,800,0,21
2017-08-21,25,654,0,21
2017-08-22,25,500,0,21
2017-08-23,25,259,0,7
2017-08-24,25,200,0,0
2017-08-25,25,1140,0,12
2017-08-26,25,1500,0,920
2017-08-27,25,1500,0,1200
2017-08-28,25,1500,0,1200
2017-08-29,25,1500,0,1200
2017-08-30,25,1500,0,1200
2017-08-31,25,708,0,1200
2017-09-01,25,500,0,1200
2017-09-02,25,500,56,896
2017-09-03,25,500,100,800
2017-09-04,25,500,100,800
2017-09-05,25,500,100,800
2017-09-06,25,500,100,800
2017-09-07,25,500,100,248
2017-09-08,25,500,50,21
2017-09-09,17,500,25,21
2017-09-10,25,500,25,21
2017-09-11,25,500,25,21
2017-09-12,23,500,25,21
2017-09-13,25,500,25,21
2017-09-14,25,500,25,21
2017-09-15,25,500,25,21
2017-09-16,25,500,25,21
2017-09-17,25,500,25,21
2017-09-18,25,500,25,21
2017-09-19,25,500,25,21
2017-09-20,25,500,25,21
2017-09-21,25,500,25,21
2017-09-22,25,500,25,21
2017-09-23,25,500,25,21
2017-09-24,25,500,25,21
2017-09-25,25,500,25,21
2017-09-26,25,500,25,21
2017-09-27,25,500,25,21
2017-09-28,25,500,25,21
2017-09-29,25,500,25,21
2017-09-30,25,500,25,21
2017-10-01,25,500,25,271
2017-10-02,25,500,25,21
2017-10-03,25,500,25,21
2017-10-04,25,500,25,21
2017-10-05,25,500,25,21
2017-10-06,25,500,25,21
2017-10-07,25,500,25,9
2017-10-08,25,500,25,7
2017-10-09,946,2215,25,7
2017-10-10,1500,4141,25,7
2017-10-11,1500,4500,25,7
2017-10-12,1500,4500,25,7
2017-10-13,1500,1219,25,7
2017-10-14,1500,1646,25,7
2017-10-15,1500,2000,25,7
2017-10-16,1500,2000,25,7
2017-10-17,1500,2000,25,7
2017-10-18,1500,2000,25,7
2017-10-19,1500,2000,25,7
2017-10-20,1104,2000,25,7
2017-10-21,255,2000,25,7
2017-10-22,25,2000,25,7
2017-10-23,25,2000,25,7
2017-10-24,25,2000,25,149
2017-10-25,25,2000,25,250
2017-10-26,25,1250,25,250
2017-10-27,25,625,25,250
2017-10-28,25,500,25,250
2017-10-29,25,500,25,250
2017-10-30,25,500,25,250
2017-10-31,25,500,25,250
2017-11-01,25,500,25,91
2017-11-02,25,500,25,7
2017-11-03,25,500,25,7
2017-11-04,25,500,25,7
2017-11-05,25,500,25,7
2017-11-06,25,500,25,7
2017-11-07,25,500,25,7
2017-11-08,25,500,25,7
2017-11-09,25,500,25,7
2017-11-10,25,500,25,7
2017-11-11,25,500,25,7
2017-11-12,25,500,25,7
2017-11-13,25,500,25,7
2017-11-14,25,500,25,7
2017-11-15,25,500,25,7
2017-11-16,25,500,25,7
2017-11-17,25,500,25,7
2017-11-18,25,500,25,7
2017-11-19,25,500,25,7
2017-11-20,25,500,25,7
2017-11-21,25,500,25,7
2017-11-22,25,500,25,7
2017-11-23,25,500,25,7
2017-11-24,25,500,25,7
2017-11-25,25,500,25,7
2017-11-26,25,500,25,7
2017-11-27,25,500,25,7
2017-11-28,25,500,25,7
2017-11-29,25,584,25,7
2017-11-30,25,600,25,7
2017-12-01,25,600,25,7
2017-12-02,25,600,25,7
2017-12-03,25,600,25,7
2017-12-04,25,600,25,7
2017-12-05,25,3108,25,7
2017-12-06,25,3800,25,7
2017-12-07,25,3800,25,7
2017-12-08,25,3800,25,7
2017-12-09,25,3800,25,7
2017-12-10,25,3800,25,7
2017-12-11,25,3800,25,7
2017-12-12,25,3800,25,7
2017-12-13,25,3800,25,7
2017-12-14,25,3800,25,7
2017-12-15,25,3800,25,7
2017-12-16,25,3800,25,7
2017-12-17,25,3800,25,7
2017-12-18,25,3800,25,7
2017-12-19,25,3800,25,7
2017-12-20,25,1392,25,7
2017-12-21,715,600,25,7
2017-12-22,1000,1596,25,7
2017-12-23,1000,400,25,7
2017-12-24,1000,400,25,7
2017-12-25,1000,400,25,7
2017-12-26,1000,400,25,7
2017-12-27,1000,400,25,7
2017-12-28,1688,400,25,7
2017-12-29,2000,400,25,7
2017-12-30,2000,400,25,7
2017-12-31,2000,400,25,7
2018-01-01,2000,400,25,7
2018-01-02,2000,400,25,7
2018-01-03,2000,400,25,7
2018-01-04,579,400,25,7
2018-01-05,25,400,25,7
2018-01-06,25,400,25,7
2018-01-07,25,400,25,7
2018-01-08,25,400,25,7
2018-01-09,25,400,25,7
2018-01-10,25,400,25,7
2018-01-11,401,400,25,7
2018-01-12,500,400,25,7
2018-01-13,500,400,25,7
2018-01-14,500,400,25,7
2018-01-15,500,400,25,7
2018-01-16,500,400,25,7
2018-01-17,500,400,25,7
2018-01-18,500,400,25,7
2018-01-19,500,400,25,7
2018-01-20,500,400,25,7
2018-01-21,500,400,25,7
2018-01-22,500,400,25,7
2018-01-23,500,400,25,7
2018-01-24,500,400,25,7
2018-01-25,500,400,25,160
2018-01-26,500,400,25,200
2018-01-27,500,400,25,200
2018-01-28,500,400,25,200
2018-01-29,500,400,25,200
2018-01-30,500,400,352,200
2018-01-31,500,400,500,200
2018-02-01,1615,400,500,350
2018-02-02,2000,400,500,400
2018-02-03,2000,400,500,400
2018-02-04,2000,400,500,400
2018-02-05,2000,400,500,400
2018-02-06,2000,400,500,400
2018-02-07,2000,400,500,400
2018-02-08,2000,400,500,111
2018-02-09,2000,400,500,7
2018-02-10,433,400,500,7
2018-02-11,200,400,500,7
2018-02-12,200,400,500,7
2018-02-13,200,400,500,7
2018-02-14,200,400,500,7
2018-02-15,200,400,500,7
2018-02-16,200,400,500,7
2018-02-17,200,400,500,7
2018-02-18,200,400,500,7
2018-02-19,200,400,500,7
2018-02-20,200,400,500,7
2018-02-21,200,400,500,7
2018-02-22,200,400,500,7
2018-02-23,200,400,1354,7
2018-02-24,200,400,1500,7
2018-02-25,200,400,1500,7
2018-02-26,200,400,1500,7
2018-02-27,200,400,1500,7
2018-02-28,200,400,1500,7
2018-03-01,200,400,1500,7
2018-03-02,200,400,1500,7
2018-03-03,200,400,329,7
2018-03-04,200,400,100,7
2018-03-05,200,400,100,7
2018-03-06,200,400,100,7
2018-03-07,200,400,49,7
2018-03-08,200,400,25,7
2018-03-09,200,400,25,7
2018-03-10,200,400,25,7
2018-03-11,200,400,25,7
2018-03-12,200,400,25,7
2018-03-13,200,400,25,7
2018-03-14,200,400,25,7
2018-03-15,200,496,25,7
2018-03-16,200,400,25,7
2018-03-17,200,400,25,7
2018-03-18,200,400,25,7
2018-03-19,200,400,25,7
2018-03-20,200,400,25,7
2018-03-21,200,400,25,7
2018-03-22,200,400,25,7
2018-03-23,200,546,25,7
2018-03-24,200,600,25,7
2018-03-25,200,600,25,7
2018-03-26,200,600,25,7
2018-03-27,200,600,25,7
2018-03-28,132,600,25,7
2018-03-29,25,600,25,7
2018-03-30,25,600,25,7
2018-03-31,25,600,25,7
2018-04-01,25,600,25,7
2018-04-02,25,600,25,19
2018-04-03,25,667,25,21
2018-04-04,25,700,25,21
2018-04-05,25,700,25,21
2018-04-06,25,700,25,21
2018-04-07,25,700,25,21
2018-04-08,25,700,25,21
2018-04-09,25,700,25,21
2018-04-10,25,700,25,21
2018-04-11,25,700,25,21
2018-04-12,25,700,25,21
2018-04-13,25,700,25,21
2018-04-14,25,700,25,21
2018-04-15,25,700,25,21
2018-04-16,25,700,25,21
2018-04-17,25,700,25,21
2018-04-18,25,700,25,210
2018-04-19,25,700,25,3
2018-04-20,25,700,25,0
2018-04-21,25,700,25,0
2018-04-22,25,700,25,0
2018-04-23,25,700,25,0
2018-04-24,25,635,25,0
2018-04-25,25,700,25,16
2018-04-26,25,700,25,21
2018-04-27,25,700,25,21
2018-04-28,25,700,25,21
2018-04-29,25,700,25,21
2018-04-30,25,700,25,21
2018-05-01,25,700,25,21
2018-05-02,25,700,25,21
2018-05-03,25,700,25,21
2018-05-04,25,700,25,21
2018-05-05,25,700,25,21
2018-05-06,25,700,25,21
2018-05-07,25,700,25,21
2018-05-08,25,1500,25,21
2018-05-09,25,1800,25,21
2018-05-10,25,1800,25,21
2018-05-11,25,1800,25,21
2018-05-12,25,1800,25,21
2018-05-13,25,1800,25,21
2018-05-14,25,1800,25,21
2018-05-15,25,929,25,21
2018-05-16,25,500,25,21
2018-05-17,25,500,25,21
2018-05-18,698,500,25,21
2018-05-19,900,500,25,21
2018-05-20,900,500,25,21
2018-05-21,900,500,25,21
2018-05-22,900,500,25,21
2018-05-23,900,500,25,21
2018-05-24,900,500,25,21
2018-05-25,900,500,25,21
2018-05-26,900,500,25,21
